"SARG number","meters north","meters east","start date","end date","median date","type","size","description","room count","elevation","baseline households","x","y"
2304,1423,1995,850,1000,900,1,600,3,1,2018,1,20,13
2305,1243,1956,1000,1150,1025,1,180,2,6,2022,2,20,11
2306,1446,1960,1050,1150,1100,2,50,4,1,2016,1,20,13
2307,1219,1925,1050,1100,1075,2,50,8,0,2022,0,20,11
2308,1211,2012,1050,1150,1100,1,200,1,2,2036,1,20,11
2309,1150,1838,850,1000,900,1,15,3,1,2024,1,19,10
2310,1134,1790,850,1000,950,2,410,4,-1,2024,1,18,10
2311,995,1608,850,1000,950,2,-1,5,0,2025,0,16,9
2312,995,1608,1050,1150,1100,1,750,1,2,2025,1,16,9
2313,980,1574,900,1150,1050,2,175,6,0,2025,1,16,9
2316,893,1472,900,1050,1000,1,10,3,1,2033,1,15,8
2317,869,1427,1000,1150,1100,1,50,3,1,2035,1,14,7
2318,3724,3794,1000,1150,1100,2,10,4,1,1996,1,38,38
2319,4123,3735,1200,1270,1250,2,150,6,0,1974,1,38,42
2320,4181,3701,1050,1150,1075,2,100,6,0,1970,1,38,43
2321,4341,3783,1100,1150,1125,1,10,4,1,1974,1,38,44
2322,4397,3776,850,1000,950,2,110,6,0,1972,1,38,45
2323,4582,3805,1050,1225,1075,2,20,4,1,1975,1,39,46
2324,4609,3728,1000,1200,1125,1,115,1,2,1972,1,38,46
2325,4768,3625,1000,1150,1125,2,50,6,0,1969,1,37,48
2326,4827,3640,1100,1250,1200,1,260,1,2,1967,1,37,49
2327,4957,3767,1050,1150,1100,2,30,4,1,1972,1,38,50
2328,4919,3706,1100,1200,1100,1,120,3,1,1964,1,38,50
2329,5039,3692,600,850,800,1,140,3,5,1975,5,37,51
2330,5091,3753,600,850,750,1,190,3,1,1961,1,38,51
2331,5089,3672,900,1150,1100,2,50,4,0,1961,1,37,51
2332,5111,3829,1050,1150,1100,2,25,4,1,1963,1,39,52
2333,5397,3703,850,1250,1050,1,200,1,5,1957,1,38,55
2335,5468,3686,1050,1150,1100,1,-1,1,6,1952,2,37,56
2336,5547,3671,600,700,650,1,300,3,2,1949,2,37,56
