"x","y","color","zone","maize.zone"
41,93,"yellow","Natural","No_Yield"
41,92,"yellow","Natural","No_Yield"
41,91,"yellow","Natural","No_Yield"
41,90,"yellow","Natural","No_Yield"
41,89,"yellow","Natural","No_Yield"
41,88,"white","North Dunes","Sand_dune"
41,87,"red","North","Yield_1"
41,86,"red","North","Yield_1"
41,85,"red","North","Yield_1"
41,84,"red","North","Yield_1"
41,83,"red","North","Yield_1"
41,82,"black","General","Yield_2"
41,81,"black","General","Yield_2"
41,80,"black","General","Yield_2"
41,79,"black","General","Yield_2"
41,78,"black","General","Yield_2"
41,77,"black","General","Yield_2"
41,76,"black","General","Yield_2"
41,75,"black","General","Yield_2"
41,74,"black","General","Yield_2"
41,73,"yellow","Natural","No_Yield"
41,72,"yellow","Natural","No_Yield"
41,71,"yellow","Natural","No_Yield"
41,70,"yellow","Natural","No_Yield"
41,69,"yellow","Natural","No_Yield"
41,68,"yellow","Natural","No_Yield"
41,67,"yellow","Natural","No_Yield"
41,66,"yellow","Natural","No_Yield"
41,65,"yellow","Natural","No_Yield"
41,64,"yellow","Natural","No_Yield"
41,63,"yellow","Natural","No_Yield"
41,62,"yellow","Natural","No_Yield"
41,61,"yellow","Natural","No_Yield"
41,60,"yellow","Natural","No_Yield"
41,59,"yellow","Natural","No_Yield"
41,58,"yellow","Natural","No_Yield"
41,57,"yellow","Natural","No_Yield"
41,56,"yellow","Natural","No_Yield"
41,55,"yellow","Natural","No_Yield"
41,54,"yellow","Natural","No_Yield"
41,53,"yellow","Natural","No_Yield"
41,52,"yellow","Natural","No_Yield"
41,51,"yellow","Natural","No_Yield"
41,50,"yellow","Natural","No_Yield"
41,49,"yellow","Natural","No_Yield"
41,48,"yellow","Natural","No_Yield"
41,47,"yellow","Natural","No_Yield"
41,46,"yellow","Natural","No_Yield"
41,45,"yellow","Natural","No_Yield"
41,44,"yellow","Natural","No_Yield"
41,43,"yellow","Natural","No_Yield"
41,42,"yellow","Natural","No_Yield"
41,41,"yellow","Natural","No_Yield"
41,40,"yellow","Natural","No_Yield"
41,39,"yellow","Natural","No_Yield"
41,38,"yellow","Natural","No_Yield"
41,37,"yellow","Natural","No_Yield"
41,36,"yellow","Natural","No_Yield"
41,35,"yellow","Natural","No_Yield"
41,34,"yellow","Natural","No_Yield"
41,33,"yellow","Natural","No_Yield"
41,32,"yellow","Natural","No_Yield"
41,31,"yellow","Natural","No_Yield"
41,30,"yellow","Natural","No_Yield"
41,29,"yellow","Natural","No_Yield"
41,28,"yellow","Natural","No_Yield"
41,27,"yellow","Natural","No_Yield"
41,26,"yellow","Natural","No_Yield"
41,25,"yellow","Natural","No_Yield"
41,24,"yellow","Natural","No_Yield"
41,23,"white","Empty","Empty"
41,22,"white","Empty","Empty"
41,21,"white","Empty","Empty"
41,20,"white","Empty","Empty"
41,19,"white","Empty","Empty"
41,18,"white","Empty","Empty"
41,17,"white","Empty","Empty"
41,16,"white","Empty","Empty"
41,15,"white","Empty","Empty"
41,14,"white","Empty","Empty"
41,13,"white","Empty","Empty"
41,12,"white","Empty","Empty"
41,11,"white","Empty","Empty"
41,10,"white","Empty","Empty"
41,9,"white","Empty","Empty"
41,8,"white","Empty","Empty"
41,7,"white","Empty","Empty"
41,6,"white","Empty","Empty"
41,5,"white","Empty","Empty"
41,4,"white","Empty","Empty"
41,3,"white","Empty","Empty"
41,2,"white","Empty","Empty"
41,1,"white","Empty","Empty"
41,0,"white","Empty","Empty"
42,119,"white","Empty","Empty"
42,118,"white","Empty","Empty"
42,117,"white","Empty","Empty"
42,116,"white","Empty","Empty"
42,115,"white","Empty","Empty"
42,114,"white","Empty","Empty"
42,113,"white","Empty","Empty"
42,112,"white","Empty","Empty"
42,111,"white","Empty","Empty"
42,110,"white","Empty","Empty"
42,109,"white","Empty","Empty"
42,108,"white","Empty","Empty"
42,107,"white","Empty","Empty"
42,106,"white","Empty","Empty"
42,105,"white","Empty","Empty"
42,104,"white","Empty","Empty"
42,103,"white","Empty","Empty"
42,102,"yellow","Natural","No_Yield"
42,101,"yellow","Natural","No_Yield"
42,100,"yellow","Natural","No_Yield"
42,99,"yellow","Natural","No_Yield"
42,98,"yellow","Natural","No_Yield"
42,97,"yellow","Natural","No_Yield"
42,96,"yellow","Natural","No_Yield"
42,95,"yellow","Natural","No_Yield"
42,94,"yellow","Natural","No_Yield"
42,93,"yellow","Natural","No_Yield"
42,92,"yellow","Natural","No_Yield"
42,91,"yellow","Natural","No_Yield"
42,90,"yellow","Natural","No_Yield"
42,89,"yellow","Natural","No_Yield"
42,88,"white","North Dunes","Sand_dune"
42,87,"red","North","Yield_1"
42,86,"red","North","Yield_1"
42,85,"red","North","Yield_1"
42,84,"red","North","Yield_1"
42,83,"black","General","Yield_2"
42,82,"black","General","Yield_2"
42,81,"black","General","Yield_2"
42,80,"black","General","Yield_2"
42,79,"black","General","Yield_2"
42,78,"black","General","Yield_2"
42,77,"black","General","Yield_2"
42,76,"black","General","Yield_2"
42,75,"black","General","Yield_2"
42,74,"yellow","Natural","No_Yield"
42,73,"yellow","Natural","No_Yield"
42,72,"yellow","Natural","No_Yield"
42,71,"yellow","Natural","No_Yield"
