"year","general","north","mid","natural","upland","kinbiko"
1141,2,2,4,-1.6710001,-1.6710001,2
1142,2,2,4,0.84900004,0.84900004,2
1143,2,2,4,-2.165,-2.165,2
1144,2,2,4,-1.699,-1.699,2
1145,2,2,4,-0.144,-0.144,2
1146,2,2,4,-3.42,-3.42,2
1147,2,2,4,-0.39400002,-0.39400002,2
1148,2,2,4,-1.371,-1.371,2
1149,2,2,4,-1.3659999,-1.3659999,2
1150,2,2,4,-4.38,-4.38,2
1151,2,2,4,-1.371,-1.371,2
1152,2,2,4,0.255,0.255,2
1153,2,2,4,-0.283,-0.283,2
1154,2,2,4,-1.6930001,-1.6930001,2
1155,2,2,4,0.172,0.172,2
1156,2,2,4,-2.82,-2.82,2
1157,2,2,4,0.52199996,0.52199996,2
1158,2,2,4,-3.809,-3.809,2
1159,2,2,4,-0.072,-0.072,2
1160,2,4,4,1.132,1.132,4
1161,2,4,4,-2.276,-2.276,4
1162,2,4,4,0.117,0.117,4
1163,2,4,4,1.543,1.543,4
1164,2,4,4,-3.5479999,-3.5479999,4
1165,2,4,4,1.915,1.915,4
1166,2,4,4,-1.532,-1.532,4
1167,2,4,4,2.2150002,2.2150002,4
1168,2,4,4,-0.92199993,-0.92199993,4
1169,2,4,4,-4.308,-4.308,4
1170,4,4,4,2,2,4
1171,4,4,4,2,2,4
1172,4,4,4,2,2,4
1173,4,4,4,2,2,4
1174,4,4,4,2,2,4
1175,4,4,4,2,2,4
1176,4,4,4,2,2,4
1177,4,4,4,2,2,4
1178,4,4,4,2,2,4
1179,4,4,4,2,2,4
1180,4,4,4,2,2,4
1181,4,4,4,2,2,4
1182,4,4,4,2,2,4
1183,4,4,4,2,2,4
1184,4,4,4,2,2,4
1185,4,4,4,2,2,4
1186,4,4,4,2,2,4
1187,4,4,4,2,2,4
1188,4,4,4,2,2,4
1189,4,4,4,2,2,4
1190,4,4,4,2,2,4
1191,4,4,4,2,2,4
1192,4,4,4,2,2,4
1193,4,4,4,2,2,4
1194,4,4,4,2,2,4
1195,4,4,4,2,2,4
1196,4,4,4,2,2,4
1197,4,4,4,2,2,4
1198,4,4,4,2,2,4
1199,4,4,4,2,2,4
1200,4,4,4,2,2,4
1201,4,4,4,2,2,4
1202,4,4,4,2,2,4
1203,4,4,4,2,2,4
1204,4,4,4,2,2,4
1205,4,4,4,2,2,4
1206,4,4,4,2,2,4
1207,4,4,4,2,2,4
1208,4,4,4,2,2,4
1209,4,4,4,2,2,4
1210,4,4,4,2,2,4
1211,4,4,4,2,2,4
1212,4,4,4,2,2,4
1213,4,4,4,2,2,4
1214,4,4,4,2,2,4
1215,4,4,4,2,2,4
1216,4,4,4,2,2,4
1217,4,4,4,2,2,4
1218,4,4,4,2,2,4
